symbol
RELIANCE
TCS
HDFCBANK
INFY
ICICIBANK
LT
SBIN
BHARTIARTL
ITC
HINDUNILVR
KOTAKBANK
AXISBANK
ASIANPAINT
MARUTI
SUNPHARMA
HCLTECH
BAJFINANCE
TITAN
ULTRACEMCO
WIPRO
NTPC
POWERGRID
NESTLEIND
ONGC
TATAMOTORS
M&M
ADANIENT
ADANIPORTS
BAJAJFINSV
TECHM
JSWSTEEL
TATASTEEL
COALINDIA
GRASIM
HDFCLIFE
SBILIFE
INDUSINDBK
CIPLA
BRITANNIA
DIVISLAB
EICHERMOT
DRREDDY
HEROMOTOCO
SHREECEM
APOLLOHOSP
BPCL
UPL
HINDALCO
ICICIPRULI
DMART
